date,equity,daily_pnl,rg_daily_ret_pct,rg_cum_return_pct,spy_close,sp500_daily_ret_pct,sp500_cum_return_pct
2026-02-05,100000.0,,,0.0,673.83,,0.0
2026-02-06,100000.0,0.0,0.0,0.0,687.04,1.9604351245863016,1.9604351245863016
2026-02-07,100178.82,178.82000000000698,0.17882000000000176,0.17882000000000176,687.04,0.0,1.9604351245863016
2026-02-10,101298.47,1119.6499999999942,1.1176514157383632,1.2984700000000071,688.42,0.20086166744295308,2.1652345547096274
2026-02-11,101453.67,155.1999999999971,0.1532106062411387,1.453670000000007,688.12,-0.04357804828447609,2.12071293946543
2026-02-12,99968.71,-1484.9599999999919,-1.4636828810628444,-0.03128999999999493,677.56,-1.5346160553391885,0.5535520828695573
2026-02-13,99793.5,-175.2100000000064,-0.17526484036856083,-0.20649999999999835,677.98,0.06198713029106351,0.6158823442114381
2026-02-14,101154.7,1361.199999999997,1.3640166944740795,1.1546999999999974,677.98,0.0,0.6158823442114381
2026-02-18,100431.66,-723.0399999999936,-0.7147863618793715,0.4316600000000115,682.53,0.6711112422195242,1.2911268420818134
2026-02-19,101740.93,1309.2699999999895,1.3036426959387004,1.740929999999996,680.85,-0.24614302668013455,1.0418057967143124
2026-02-20,101171.21,-569.7199999999866,-0.5599712917898292,1.1712100000000003,685.76,0.7211573768084012,1.7704762328777157
2026-02-21,100108.06,-1063.1500000000087,-1.0508424283944051,0.10805999999998761,685.76,0.0,1.7704762328777157
2026-02-24,97474.19,-2633.8699999999953,-2.631026912318546,-2.525809999999995,683.7,-0.3003966402239766,1.464761141534221
2026-02-25,97057.51,-416.68000000000757,-0.4274772634684232,-2.9424900000000087,689.4,0.8336989907854253,2.310671831174016
2026-02-26,98763.2,1705.6900000000023,1.7574013592559723,-1.2368000000000046,685.64,-0.5454017986655013,1.7526675867800323
2026-02-27,100635.21,1872.0100000000093,1.8954529622369654,0.6352099999999972,682.5,-0.4579662796802997,1.2866746805574092
2026-02-28,100060.11,-575.1000000000058,-0.5714699656313216,0.060109999999991004,682.5,0.0,1.2866746805574092
2026-03-03,101049.0,988.8899999999994,0.9882959353132881,1.049000000000011,676.66,-0.8556776556776557,0.41998723713694286
2026-03-04,102484.45,1435.449999999997,1.420548446793135,2.4844499999999936,681.48,0.7123222888895553,1.1353011887271336
2026-03-05,103451.44,966.9900000000052,0.9435480211876124,3.4514399999999945,677.77,-0.544403357398604,0.5847172135404977
